#TOD, VSZ_CPL_N_0, RSS_CPL_N_0, VSZ_ATM_N_0, RSS_ATM_N_0, VSZ_LND_N_0, RSS_LND_N_0, VSZ_ICE_N_0, RSS_ICE_N_0, VSZ_OCN_N_0, RSS_OCN_N_0, VSZ_GLC_N_0, RSS_GLC_N_0, VSZ_ROF_N_0, RSS_ROF_N_0, VSZ_WAV_N_0, RSS_WAV_N_0, VSZ_IAC_N_0, RSS_IAC_N_0
20110402.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110404.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110404.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110404.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110406.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110408.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110408.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110408.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110410.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110412.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110412.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110412.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110414.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110416.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110416.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110416.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110418.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110420.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110420.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
20110420.00000,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578,   129233.938,      221.578
